Question,Answer
饒河夜市臭豆腐店家清單,"- 口吅品麻辣臭豆腐
- 下港名彭臭豆腐
- 施老板麻辣臭豆腐
- 妖怪臭薯條
- 阿根脆皮臭豆腐"
日本人喜歡的夜市美食？,"- 小籠包
- 雞排
- 滷肉飯
- 胡椒餅"
饒河夜市簡介,饒河街夜市位於松山區八德路四段及撫遠街間的饒河街，全長600公尺，徒步從頭走到尾約30分鐘，附近有松山火車站與松山捷運站，交通便利，為國際觀光客與當地民眾喜愛隻台北夜市之一。
捷運松山新店線沿途停靠站(ordered),松山，南京三民，臺北小巨蛋，南京復興，松江南京，中山，西門，小南門，中正紀念堂，古亭，臺電大樓，公館，萬隆，景美，大坪林，七張，新店區公所，新店
捷運淡水信義線沿途停靠站(ordered),淡水，紅樹林，竹圍，關渡，忠義，復興崗，北投，奇岩，唭哩岸，石牌，明德，芝山，士林，劍潭，圓山，民權西路，雙連，中山，台北車站，台大醫院，中正紀念堂，東門，大安森林公園，大安，信義安和，台北101/世貿，象山 
捷運文湖線沿途停靠站(ordered),動物園，木柵，萬芳社區，萬芳醫院，辛亥，麟光，六張犁，科技大樓，大安，忠孝復興，南京復興，中山國中，松山機場，大直，劍南路，西湖，港墘，文德，內湖，大湖公園，葫洲，東湖，南港軟體園區，南港展覽館
捷運板南線沿途停靠站(ordered),南港展覽館，南港，昆陽，後山埤，永春，市政府，國父紀念館，忠孝敦化，忠孝復興，忠孝新生，善導寺，台北車站，西門，龍山寺，江子翠，新埔，板橋，府中，亞東醫院，海山，土城，永寧，頂埔
捷運中和新蘆線沿途停靠站(ordered),迴龍，丹鳳，輔大，新莊，頭前庄，先嗇宮，三重，菜寮，台北橋，大橋頭，民權西路，中山國小，行天宮，松江南京，忠孝新生，東門，古亭，頂溪，永安市場，景安，南勢角
松山捷運站離饒河夜市最近的出口,5號出口
台灣北部熱門夜市有哪些?,"第一次來你不能錯過的知名夜市如下
- 士林夜市(台北市士林區):士林夜市已經存在100多年，主要分為地下美食廣場和圍繞市場建築的地上商品攤位，舉凡衣服、鞋子、飾品、電子產品，在士林夜市只有你想不到，沒有你買不到，這裡的美食也讓人應接不暇，蛤仔煎、炸雞排、胡椒餅、炸魚丸、火焰骰仔牛是最火爆的幾款小吃。
- 饒河街夜市(台北市松山區):松山區最古老的饒河街夜市，是當地人和遊客中都人氣滿滿的美食夜市，傳統一字型的街市十分適合來掃蕩美食。知名小吃包含蚵仔麵線、豬腳麵線、臭豆腐、手工麻糬等。
- 寧夏夜市(台北市大同區):寧夏夜市位於台北最古老的大同區，氛圍懷舊迷人。走在夜市的窄窄街巷裡，販賣臺式小吃的攤頭已經走過了50多個年頭，可謂真正的古早味道。市場北邊專賣小吃，南邊則是商鋪和遊樂場所，出名的小吃有炸魷魚、魚卷、麻油雞、剉冰。
- 臨江街夜市(台北市大安區):位於大安區臨江街與通化街交匯處。由於食客多是本地人，臨江街夜市少了商業化，更有人情的味道在裡面。夜市上除了平價的日用品外，最多的就是令人垂涎的美食小吃啦。豬肉腸、煎餃、魷魚羹、臭豆腐、肉燥飯、割包等。
- 南機場夜市(台北市萬華區):如果不想有太多遊客或者想體驗當地人吃法來這就對啦～由於離捷運站不近需要轉公車，所以遊客相對比較少，是銅板價美食的集中地"
饒河街有哪些必吃美食?,"- 百年老店東發號:推薦麵線、肉羹、油飯
- 名彭下港臭豆腐:推薦臭豆腐、綜合煎跟麻辣鴨血
- 福州世祖胡椒餅:推薦胡椒餅
- 阿國滷味:推薦鴨翅，米血糕、百頁豆腐跟豆皮
- 紅燒牛肉麵:推薦招牌牛肉麵，其中它的店名不好尋找，招牌主要是黃色外加卡通乳牛的圖案
- 金賞東山鴨頭:推薦海帶、豬血糕、鳥蛋跟甜不辣
- 福島屋圓圓燒:很像大阪燒的圓形版本，各種口味都推薦
- 施老闆麻辣豆腐:推薦臭豆腐、鴨血、腸旺跟炸臭豆腐
- 御品元冰火湯圓:推薦御品元冰火湯圓"
饒河街附近景點有哪些?,五分埔商圈:逛街買衣服、松山慈祐宮:受當地人歡迎之廟宇，可參觀與參拜、松山－道後溫泉祈福機械鐘: 可參觀、彩虹橋:可散步或騎單車、周邊按摩店:可搜尋附近按摩店，並提早預約師傅按摩
台灣必吃美食? ,"如果你第一次來:推薦吃台灣必吃美食，包含臭豆腐、滷肉飯、小籠包、珍珠奶茶、各種飲料店
如果你第二次來:推薦吃台灣日常向弄美食，如魷魚羹麵、街頭油飯、八方雲集、米粉湯、火鍋店"
台灣特色美食及翻譯,大雞排（特大フライドチキン）、蚵仔麺線（牡蠣入りそうめん）、生煎包（焼き小籠包）、薬燉排骨（ヤオドンパイグー、薬膳排骨スープ）、胡椒餅（フージャオビン）、香酥芋丸（シャンスーユーワン、タロイモの揚げ餅）、蚵仔煎（牡蠣オムレツ）、珍珠奶茶（タピオカミルクティー）、阿給（アーゲー、由来は揚げ）、魚丸湯（魚のすり身ボールのスープ）、古早味蛋糕（老舗のケーキ）、鐵蛋（鉄卵、たれで煮込んだ卵）、酸梅湯（梅その他の入ったお茶）
